Código Institución,Nombre Institución,Número Identificación Tributaria - NIT,Principal/Seccional,Naturaleza Jurídica,Sector,Carácter Académico,Cod Departamento,Departamento Domicilio,Cod Municipio,Municipio Domicilio,Dirección Domicilio,Teléfono Domicilio,Norma de Creación,Fecha Norma de Creación,¿Acreditada Alta Calidad?,Fecha Acreditación,Resolución de la acreditación,Vigencia de la acreditación,Estado,Fecha Actualizacion,Página Web
1716,UNIVERSIDAD DE SAN BUENAVENTURA,890.307.400,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76001,CALI,Cra 122 N� 6 - 65 via a Pance,3182200,RESOLUCION 1326 MINISTERIO DE EDUCACION NACIONAL,03/25/1975 12:00:00 AM,SI,05/25/2017 12:00:00 AM,10706,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usbcali.edu.co
1717,UNIVERSIDAD DE SAN BUENAVENTURA,890307400-1,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,Carrera 56C   51-90  Barrio San Benito,4500323,RESOLUCION 1326 MINISTERIO DE EDUCACION NACIONAL.,03/25/1975 12:00:00 AM,SI,05/25/2017 12:00:00 AM,10706,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usb-med.edu.co
1718,UNIVERSIDAD DE SAN BUENAVENTURA,No 890307400-1,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,"Carrera 8H #172-20 , Rector�a: Cra. 9  No. 123-76 Of.602-603",6671090,RESOLUCION 1326 MINISTERIO DE EDUCACION NACIONAL,,SI,05/25/2017 12:00:00 AM,10706,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usbbog.edu.co
1719,UNIVERSIDAD CATOLICA DE COLOMBIA,860.028.971-9,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Av Caracas No. 46-72,3277300,RESOLUCION 2271 MINISTERIO DE JUSTICIA.,07/07/1970 12:00:00 AM,SI,09/06/2019 12:00:00 AM,9520,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucatolica.edu.co
1720,UNIVERSIDAD MARIANA,800.092.198-5,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,52,NARINIO,52001,PASTO,Calle 18 No. 34-104,7314923,NO INFORMA 230 Gobierno Departamental de Nari�o,,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.umariana.edu.co
1722,UNIVERSIDAD DE MANIZALES,890.086.001-7,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,17,CALDAS,17001,MANIZALES,Carrera 9 No. 19-03 Campohermoso,8879680,RESOLUCION 314 MINISTERIO DE EDUCACION NACIONAL,01/21/1983 12:00:00 AM,SI,05/15/2019 12:00:00 AM,4792,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.umanizales.edu.co
1723,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,68,SANTANDER,68001,BUCARAMANGA,Autopista a Piedecuesta Km. 7,6796220,NO INFORMA 48 Ministerio de Gobierno,,SI,10/24/2018 12:00:00 AM,17228,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.upb.edu.co
1724,UNIVERSIDAD DE SAN BUENAVENTURA,890307400-1,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,13,BOLIVAR,13001,CARTAGENA,"Calle Real de Ternera, Cartagena",6539599,RESOLUCION 1326 MINISTERIO DE EDUCACION NACIONAL.,03/25/1975 12:00:00 AM,SI,05/25/2017 12:00:00 AM,10706,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usbctg.edu.co
1725,FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-,860.034.667,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,"Calle 13  4-31, Correspondencia: Cra.4 12-85",3343696,RESOLUCION 264 MINISTERIO DE JUSTICIA.,02/04/1972 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.fuac.edu.co
1726,UNIVERSIDAD CATOLICA DE ORIENTE -UCO,890.984.746-7,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,5,ANTIOQUIA,5615,RIONEGRO,Carrera 46 #40B-50 Sector 3,5699090,RESOLUCION 2650 MINISTERIO DE EDUCACION NACIONAL,,SI,09/06/2019 12:00:00 AM,9522,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uco.edu.co
1727,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,23,CORDOBA,23001,MONTERIA,Kil�metro 8 V�a a Ceret�,7905088,RESOLUCION 48 MINISTERIO DE GOBIERNO,,SI,10/24/2018 12:00:00 AM,17228,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.upbmonteria.edu.co
1728,UNIVERSIDAD SERGIO ARBOLEDA,860.351.894,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle 74 No. 14-14,3177536,RESOLUCION 16377 MINISTERIO DE EDUCACION NACIONAL,,SI,04/05/2019 12:00:00 AM,3659,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usergioarboleda.edu.co
1729,UNIVERSIDAD EL BOSQUE,860.066.789-6,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,"Av. Cra 9 No. 131 A - 02, Edificio Fundadores",6489000,RESOLUCION 11153 MINISTERIO DE EDUCACION NACIONAL,,SI,06/10/2016 12:00:00 AM,11373,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unbosque.edu.co
1730,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76520,PALMIRA,Km 1 V�a Tienda Nueva Edif. Seminario Cristo Sacerdote Piso 2,2759370,RESOLUCION 48 MINISTERIO DE GOBIERNO.,,SI,10/24/2018 12:00:00 AM,17228,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.upb.edu.co
1731,UNIVERSIDAD CATOLICA DE COLOMBIA,860.028.971,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,25,CUNDINAMARCA,25175,CHIA,Km. 21 V�a Carrera 7 La Caro,6766071,RESOLUCION 2271 MINISTERIO DE JUSTICIA,11/07/2001 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucatolica.edu.co
1732,UNIVERSIDAD SANTO TOMAS,860.012.357-6,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,15,BOYACA,15001,TUNJA,Calle 19 No. 11 - 64 Centro,7440404,RESOLUCION 3645 MINISTERIO DE JUSTICIA,08/06/1965 12:00:00 AM,SI,01/29/2016 12:00:00 AM,1456,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ustatunja.edu.co
1733,UNIVERSIDAD SERGIO ARBOLEDA,860.351.894 -3,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,47,MAGDALENA,47001,SANTA MARTA,"Calle 18 Carrera 15,  Esquina",4203838,RESOLUCION 16377 MINISTERIO DE EDUCACION NACIONAL,,SI,04/05/2019 12:00:00 AM,3659,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usergioarboleda.edu.co/santamarta
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,891.801.101-6,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,15,BOYACA,15001,TUNJA,Carrera 2a. Este No. 64-169,7450044,RESOLUCION 6553 MINISTERIO DE EDUCACION NACIONAL,05/25/1981 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uniboyaca.edu.co
1735,UNIVERSIDAD MANUELA BELTRAN-UMB-,860.517.647-5,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Avenida Circunvalar No. 60 - 00,5460600,RESOLUCION 11110 MINISTERIO DE EDUCACION NACIONAL,07/13/1983 12:00:00 AM,SI,12/27/2019 12:00:00 AM,2710,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.umb.edu.co
1802,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,63,QUINDIO,63001,ARMENIA,"Av. Bolivar,  Carrera 14 No. 7-46",7460400,RESOLUCION 47 MINISTERIO DE JUSTICIA,09/25/1953 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ugcarmen.edu.co
1803,UNIVERSIDAD DE LA SALLE,860.015.542-6,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Cra.5  59A-44,3488000,RESOLUCION 597 MINISTERIO DE JUSTICIA,02/12/1965 12:00:00 AM,SI,03/22/2019 12:00:00 AM,2955,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.lasalle.edu.co
1804,UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA,8901025729,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,8,ATLANTICO,8001,BARRANQUILLA,Calle 90  46-112,3671000,RESOLUCION 303 GOBERNACION DEPARTAMENTO DEL ATLANTICO,04/03/1967 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uac.edu.co
1805,UNIVERSIDAD SANTIAGO DE CALI,890.303.797-1,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76001,CALI,Carrera 62 Calle 5 Campus Pampalinda,5183000,RESOLUCION 2800 MINISTERIO DE JUSTICIA,09/02/1959 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usc.edu.co
1806,UNIVERSIDAD LIBRE,860.013.798-5,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle 8 No. 5-80,3821000,RESOLUCION 192 MINISTERIO DE GOBIERNO.,,SI,08/22/2016 12:00:00 AM,16892,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unilibre.edu.co
1807,UNIVERSIDAD LIBRE,860.013.798-5,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76001,CALI,Diagonal 37A No. 3-29  Santa Isabel,5578128,RESOLUCION 192 MINISTERIO DE GOBIERNO.,,SI,08/22/2016 12:00:00 AM,16892,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unilibrecali.edu.co
1808,UNIVERSIDAD LIBRE,860.013.798-5,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,8,ATLANTICO,8001,BARRANQUILLA,Km. 7 antigua v�a Puerto Colombia,3598915,RESOLUCION 192 MINISTERIO DE GOBIERNO.,,SI,08/22/2016 12:00:00 AM,16892,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unilibrebaq.edu.co
1809,UNIVERSIDAD LIBRE,860.013.798-5,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,66,RISARALDA,66001,PEREIRA,Calle 40 N� 7-30,3366019,RESOLUCION 192 MINISTERIO DE GOBIERNO,06/27/1946 12:00:00 AM,SI,08/22/2016 12:00:00 AM,16892,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unilibrepereira.edu.co
1810,UNIVERSIDAD LIBRE,860.013.798-5,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,54,NORTE DE SANTANDER,54001,CUCUTA,"Av. Canal Bogot� Margen Izquierdo, Intersecci�n Benjam�n Herrera",5790896,RESOLUCION 192 MINISTERIO DE GOBIERNO.,06/27/1946 12:00:00 AM,SI,08/22/2016 12:00:00 AM,16892,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unilibrecucuta.edu.co
1811,UNIVERSIDAD LIBRE,860.013.798-5,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,68,SANTANDER,68755,SOCORRO,Campus Universitario Majavita,7296945,RESOLUCION 192 MINISTERIO DE GOBIERNO,06/27/1946 12:00:00 AM,SI,08/22/2016 12:00:00 AM,16892,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unilibresoc.edu.co
1812,UNIVERSIDAD DE MEDELLIN,890.902.920-1,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,Carrera 87 No. 30-65 Los Alpes,3405555,RESOLUCION 103 MINISTERIO DE JUSTICIA,07/31/1950 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udem.edu.co
1813,UNIVERSIDAD DE LOS ANDES,860.007.386-1,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 1 No. 18A-70,3394949,RESOLUCION 28 MINISTERIO DE JUSTICIA.,02/23/1949 12:00:00 AM,SI,01/09/2015 12:00:00 AM,582,10,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uniandes.edu.co
1814,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,890905456-9,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,Carrera 55A  49 - 51,5112199,RESOLUCION 203 GOBIERNO DEPARTAMENTAL DE ANTIOQUIA,,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unaula.edu.co
1815,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera  9  45A-44,3322900,RESOLUCION 3681 MINISTERIO DE JUSTICIA.,11/27/1962 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unipiloto.edu.co
1816,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,Calle 50  41-70,2391100,NO INFORMA SIN DATO SIN DATO,03/13/1998 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucc.edu.co
1817,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,68,SANTANDER,68001,BUCARAMANGA,Calle 30A  33-51,343825,NO INFORMA SIN DATO SIN DATO,03/13/1998 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucc.edu.co
1818,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,"Av. Caracas  No. 44-21, Recibo Correspondencia: Av. Caracas No. 37-63",3323565,NO INFORMA SIN DATO SIN DATO,03/13/1998 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucc.edu.co
1819,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,68,SANTANDER,68081,BARRANCABERMEJA,Calle 57 entre carrerras 24 y 27 Barrio G,213277,NO INFORMA SIN DATO SIN DATO,03/13/1998 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,ucc.edu.co
1820,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,47,MAGDALENA,47001,SANTA MARTA,Troncal del Caribe Sector Mamatoco,4331715,NO INFORMA SIN DATO SIN DATO,03/13/1998 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucc.edu.co
1822,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,25,CUNDINAMARCA,25307,GIRARDOT,Cra. 19  17-33 Barrio Las Quintas,8332845,RESOLUCION 3681 MINISTERIO DE JUSTICIA.,11/27/1962 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unipiloto.edu.co
1823,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,890.200.499-9,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,68,SANTANDER,68001,BUCARAMANGA,Calle 48  39-234,6436111,RESOLUCION 3284 MINISTERIO DE JUSTICIA,12/21/1956 12:00:00 AM,SI,05/25/2017 12:00:00 AM,10820,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unab.edu.co
1824,UNIVERSIDAD METROPOLITANA,890.105.361-5,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,8,ATLANTICO,8001,BARRANQUILLA,Calle 76 No. 42-78,3587889,RESOLUCION 1052 MINISTERIO DE JUSTICIA,02/25/1974 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unimetro.edu.co
1825,UNIVERSIDAD AUTONOMA DE MANIZALES,890.805.051-0,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,17,CALDAS,17001,MANIZALES,Antigua Estacion del Ferocarril,8727272,RESOLUCION 1549 MINISTERIO DE EDUCACION NACIONAL,02/25/1981 12:00:00 AM,SI,09/06/2019 12:00:00 AM,9527,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.autonoma.edu.co
1826,UNIVERSIDAD ANTONIO NARI�O,860.056.070-7,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 38  58 A 77,3152973,RESOLUCION 4571 Ministerio de Educaci�n Nacional,05/24/1977 12:00:00 AM,SI,04/22/2019 12:00:00 AM,4141,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uan.edu.co
1827,UNIVERSIDAD CATOLICA DE MANIZALES,890806477-9,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,17,CALDAS,17001,MANIZALES,Carrera 23  60-63,8933050,DECRETO 271 ARQUIDIOCESIS DE MANIZALES,06/19/1962 12:00:00 AM,SI,12/09/2019 12:00:00 AM,13600,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucm.edu.co
1828,UNIVERSIDAD ICESI,890.316.745-5,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76001,CALI,Calle 18 No.122-135 (Pance),5552369,RESOLUCION 11677 MINISTERIO DE EDUCACION NACIONAL,07/12/1979 12:00:00 AM,SI,01/09/2015 12:00:00 AM,591,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.icesi.edu.co
1829,UNIVERSIDAD SANTIAGO DE CALI,8903037971,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76520,PALMIRA,Carrera 30 Calle 38 Esquina,2712617,RESOLUCION 2800 MINISTERIO DE JUSTICIA,,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usc.edu.co/palmira
1830,UNIVERSIDAD AUTONOMA DE OCCIDENTE,890.305.881-1,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76001,CALI,Calle 25 115 - 85  Km. 2 V�a Jamund�,3188000,RESOLUCION 618 GOBERNACION DEL VALLE,02/20/1970 12:00:00 AM,SI,08/24/2017 12:00:00 AM,16740,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uao.edu.co
1831,UNIVERSIDAD DE IBAGUE,890.704.382-1,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,73,TOLIMA,73001,IBAGUE,"Barrio Ambala, Carrera 22 Calle 67",2760010,RESOLUCION 1867 MINISTERIO DE EDUCACION NACIONAL,02/27/1981 12:00:00 AM,SI,10/03/2019 12:00:00 AM,10440,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unibague.edu.co
1832,UNIVERSIDAD TECNOLOGICA DE BOLIVAR,890.401.962,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,13,BOLIVAR,13001,CARTAGENA,"Campus de Ternera, V�a a Turbaco Km. 1",6535200,RESOLUCION 961 GOBERNACION DEL DEPARTAMENTO DE BOLIVAR,10/26/1970 12:00:00 AM,SI,04/24/2019 12:00:00 AM,4182,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unitecnologica.edu.co
1833,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,23,CORDOBA,23001,MONTERIA,Carrera 1W Calle 38 Barrio Juan XXIII,7840340,RESOLUCION 12154 MINISTERIO DE EDUCACION NACIONAL.,10/27/1977 12:00:00 AM,SI,06/13/2019 12:00:00 AM,6197,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unisinu.edu.co
1834,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,SECCIONAL,CORPORACION,PRIVADA,UNIVERSIDAD,13,BOLIVAR,13001,CARTAGENA,Calle 30 No. 20 -71,6562403,RESOLUCION 12154 MINISTERIO DE EDUCACION NACIONAL.,10/27/1977 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unisinucartagena.edu.co
1835,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,860.403.721.2,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle 222  54-37,6684700,RESOLUCION 7392 MINISTERIO DE EDUCACION NACIONAL,05/20/1983 12:00:00 AM,SI,12/27/2019 12:00:00 AM,17390,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udca.edu.co
2102,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,860.512.780-4,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle 14 No 14-23 Sur,3443700,LEY 52 Congreso de Colombia,07/07/1981 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unad.edu.co
2104,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,PRINCIPAL,NACIONAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle 44 # 53 - 37 CAN,2202790,LEY 19 Congreso de la Republica,12/18/1958 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.esap.edu.co
2106,DIRECCION NACIONAL DE ESCUELAS,900373379-0,PRINCIPAL,NACIONAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,11,BOGOTA D.C,11001,BOGOTA D.C.,Transversal 33 47A-35 Sur Barrio F�tima,3159136,LEY 14 Congreso de Colombia,09/08/1919 12:00:00 AM,SI,12/29/2017 12:00:00 AM,29498,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.policia.edu.co
2110,COLEGIO MAYOR DE ANTIOQUIA,890.980.134-1,PRINCIPAL,MUNICIPAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,5,ANTIOQUIA,5001,MEDELLIN,Calle 65  77-126 Robledo,4225252,LEY 48 Congreso de Colombia,12/17/1945 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.colmayor.edu.co
2111,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,SECCIONAL,NACIONAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,5,ANTIOQUIA,5001,MEDELLIN,Calle 56 (Bolivia)  45-34,2543780,LEY 19 Congreso de la Republica.,12/18/1958 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.esap.edu.co
2114,ESCUELA NACIONAL DEL DEPORTE,805.001.868,PRINCIPAL,MUNICIPAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,76,VALLE DEL CAUCA,76001,CALI,Calle  9  34-01,566411,DECRETO 3115 Gobierno Nacional.,12/21/1984 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.endeporte.edu.co
2206,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,890.325.989-3,PRINCIPAL,DEPARTAMENTAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,76,VALLE DEL CAUCA,76001,CALI,Avenida 2a. Norte  7N-28,4883030,ORDENANZA 8 Asamblea Departamental del Valle,,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.bellasartes.edu.co
2207,INSTITUTO UNIVERSITARIO DE LA PAZ,800.024.581-3,PRINCIPAL,DEPARTAMENTAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,68,SANTANDER,68081,BARRANCABERMEJA,"Centro de Investigaciones Santa Lucia, Kim. 14, via Bucaramanga,",6025185,NO INFORMA 331 Gobernacion de Santander,11/19/1987 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unipaz.edu.co
2208,CONSERVATORIO DEL TOLIMA,890.700.906-0,PRINCIPAL,DEPARTAMENTAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,73,TOLIMA,73001,IBAGUE,Calle 9  1-18,2613118,ORDENANZA 42 Asamblea del Tolima.,12/10/1980 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.conservatoriodeltolima.edu.co
2209,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,890.980.136-6,PRINCIPAL,DEPARTAMENTAL,OFICIAL,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,5,ANTIOQUIA,5001,MEDELLIN,Carrera 48  7-151,3105133,DECRETO 33 Gobierno Departamental de Antioquia,01/27/1964 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.politecnicojic.edu.co
